comparison_type,device_i,device_j,stream,hw_diff_us,sys_diff_us,timestamp_us
cross_stream,0,0,depth+color,4,0,1784283608898943
cross_stream,0,0,depth+color,5,0,1784283608931925
cross_stream,0,0,depth+color,5,0,1784283608965466
cross_stream,0,0,depth+color,4,0,1784283609000982
cross_stream,0,0,depth+color,5,0,1784283609032411
cross_stream,0,0,depth+color,4,0,1784283609065276
cross_stream,0,0,depth+color,5,0,1784283609100025
cross_stream,0,0,depth+color,5,0,1784283609132541
cross_stream,0,0,depth+color,4,0,1784283609165758
cross_stream,0,0,depth+color,5,0,1784283609198658
cross_stream,0,0,depth+color,5,0,1784283609232427
cross_stream,0,0,depth+color,4,0,1784283609265703
cross_stream,0,0,depth+color,4,0,1784283609298269
cross_stream,0,0,depth+color,5,0,1784283609365290
cross_stream,0,0,depth+color,4,0,1784283609398834
cross_stream,0,0,depth+color,5,0,1784283609432053
cross_stream,0,0,depth+color,5,0,1784283609465859
cross_stream,0,0,depth+color,4,0,1784283609499067
cross_stream,0,0,depth+color,5,0,1784283609532378
cross_stream,0,0,depth+color,5,0,1784283609565704
cross_stream,0,0,depth+color,5,0,1784283609599222
cross_stream,0,0,depth+color,5,0,1784283609632368
cross_stream,0,0,depth+color,5,0,1784283609665653
cross_stream,0,0,depth+color,5,0,1784283609732163
cross_stream,0,0,depth+color,5,0,1784283609765695
cross_stream,0,0,depth+color,5,0,1784283609798823
cross_stream,0,0,depth+color,5,0,1784283609865136
cross_stream,0,0,depth+color,5,0,1784283609898483
cross_stream,0,0,depth+color,5,0,1784283609932370
cross_stream,0,0,depth+color,5,0,1784283609965950
cross_stream,0,0,depth+color,5,0,1784283609998813
cross_stream,0,0,depth+color,5,0,1784283610032143
cross_stream,0,0,depth+color,5,0,1784283610065306
cross_stream,0,0,depth+color,5,0,1784283610098800
cross_stream,0,0,depth+color,5,0,1784283610132545
cross_stream,0,0,depth+color,5,0,1784283610165129
cross_stream,0,0,depth+color,4,0,1784283610198773
cross_stream,0,0,depth+color,4,0,1784283610232415
cross_stream,0,0,depth+color,5,0,1784283610265214
cross_stream,0,0,depth+color,5,0,1784283610298949
cross_stream,0,0,depth+color,5,0,1784283610331904
cross_stream,0,0,depth+color,5,0,1784283610365384
cross_stream,0,0,depth+color,5,0,1784283610398517
cross_stream,0,0,depth+color,5,0,1784283610432088
cross_stream,0,0,depth+color,5,0,1784283610465368
cross_stream,0,0,depth+color,5,0,1784283610498700
cross_stream,0,0,depth+color,5,0,1784283610532104
cross_stream,0,0,depth+color,5,0,1784283610565494
cross_stream,0,0,depth+color,5,0,1784283610598658
cross_stream,0,0,depth+color,5,0,1784283610632229
cross_stream,0,0,depth+color,5,0,1784283610665249
cross_stream,0,0,depth+color,5,0,1784283610698799
cross_stream,0,0,depth+color,5,0,1784283610765291
cross_stream,0,0,depth+color,4,0,1784283610831856
cross_stream,0,0,depth+color,5,0,1784283610865290
cross_stream,0,0,depth+color,5,0,1784283610898462
cross_stream,0,0,depth+color,5,0,1784283610931832
cross_stream,0,0,depth+color,5,0,1784283610965493
cross_stream,0,0,depth+color,5,0,1784283610998522
cross_stream,0,0,depth+color,5,0,1784283611032538
cross_stream,0,0,depth+color,4,0,1784283611065192
cross_stream,0,0,depth+color,5,0,1784283611099043
cross_stream,0,0,depth+color,4,0,1784283611132170
cross_stream,0,0,depth+color,5,0,1784283611165786
cross_stream,0,0,depth+color,4,0,1784283611231688
cross_stream,0,0,depth+color,5,0,1784283611265093
cross_stream,0,0,depth+color,5,0,1784283611298331
cross_stream,0,0,depth+color,5,0,1784283611332102
cross_stream,0,0,depth+color,5,0,1784283611365104
cross_stream,0,0,depth+color,5,0,1784283611398570
cross_stream,0,0,depth+color,5,0,1784283611431901
cross_stream,0,0,depth+color,5,0,1784283611465147
cross_stream,0,0,depth+color,5,0,1784283611498734
cross_stream,0,0,depth+color,5,0,1784283611533181
cross_stream,0,0,depth+color,5,0,1784283611565728
cross_stream,0,0,depth+color,5,0,1784283611598567
cross_stream,0,0,depth+color,5,0,1784283611632319
cross_stream,0,0,depth+color,5,0,1784283611666800
cross_stream,0,0,depth+color,4,0,1784283611698842
cross_stream,0,0,depth+color,4,0,1784283611734086
cross_stream,0,0,depth+color,5,0,1784283611765498
cross_stream,0,0,depth+color,5,0,1784283611798465
cross_stream,0,0,depth+color,5,0,1784283611831835
cross_stream,0,0,depth+color,4,0,1784283611865168
cross_stream,0,0,depth+color,4,0,1784283611898539
cross_stream,0,0,depth+color,4,0,1784283611932023
cross_stream,0,0,depth+color,5,0,1784283611965160
cross_stream,0,0,depth+color,5,0,1784283611998551
cross_stream,0,0,depth+color,4,0,1784283612031992
cross_stream,0,0,depth+color,4,0,1784283612065013
cross_stream,0,0,depth+color,5,0,1784283612098322
cross_stream,0,0,depth+color,4,0,1784283612131873
cross_stream,0,0,depth+color,5,0,1784283612165153
cross_stream,0,0,depth+color,5,0,1784283612198480
cross_stream,0,0,depth+color,4,0,1784283612231888
cross_stream,0,0,depth+color,5,0,1784283612265147
cross_stream,0,0,depth+color,5,0,1784283612298487
cross_stream,0,0,depth+color,4,0,1784283612332837
cross_stream,0,0,depth+color,5,0,1784283612365051
cross_stream,0,0,depth+color,5,0,1784283612400442
cross_stream,0,0,depth+color,4,0,1784283612431761
cross_stream,0,0,depth+color,4,0,1784283612465150
cross_stream,0,0,depth+color,5,0,1784283612498489
cross_stream,0,0,depth+color,4,0,1784283612534257
cross_stream,0,0,depth+color,5,0,1784283612565175
cross_stream,0,0,depth+color,5,0,1784283612598838
cross_stream,0,0,depth+color,5,0,1784283612631830
cross_stream,0,0,depth+color,5,0,1784283612665167
cross_stream,0,0,depth+color,5,0,1784283612698825
cross_stream,0,0,depth+color,4,0,1784283612732020
cross_stream,0,0,depth+color,4,0,1784283612765584
cross_stream,0,0,depth+color,5,0,1784283612798916
cross_stream,0,0,depth+color,5,0,1784283612832004
cross_stream,0,0,depth+color,4,0,1784283612865195
cross_stream,0,0,depth+color,5,0,1784283612898762
