comparison_type,device_i,device_j,stream,hw_diff_us,global_diff_us,sys_diff_us,timestamp_us
cross_stream,0,0,depth+color,5,5,-13,1786090620249674
cross_stream,0,0,depth+color,5,6,1693,1786090620282745
cross_stream,0,0,depth+color,4,4,1472,1786090620315710
cross_stream,0,0,depth+color,5,5,2098,1786090620349698
cross_stream,0,0,depth+color,5,5,1652,1786090620382603
cross_stream,0,0,depth+color,4,4,1749,1786090620415948
cross_stream,0,0,depth+color,4,4,1453,1786090620449544
cross_stream,0,0,depth+color,4,4,1815,1786090620516194
cross_stream,0,0,depth+color,5,6,1693,1786090620582799
cross_stream,0,0,depth+color,5,5,1556,1786090620649160
cross_stream,0,0,depth+color,4,5,1654,1786090620682912
cross_stream,0,0,depth+color,5,5,1863,1786090620749836
cross_stream,0,0,depth+color,5,5,1864,1786090620816554
cross_stream,0,0,depth+color,5,5,2112,1786090620849380
cross_stream,0,0,depth+color,4,3,1557,1786090620882873
cross_stream,0,0,depth+color,5,4,1741,1786090620915980
cross_stream,0,0,depth+color,5,5,1529,1786090621015789
cross_stream,0,0,depth+color,5,5,1327,1786090621049510
cross_stream,0,0,depth+color,5,5,1730,1786090621115909
cross_stream,0,0,depth+color,5,5,1481,1786090621149340
cross_stream,0,0,depth+color,5,4,1435,1786090621249295
cross_stream,0,0,depth+color,4,3,1856,1786090621282910
cross_stream,0,0,depth+color,5,5,1680,1786090621349336
cross_stream,0,0,depth+color,5,5,1099,1786090621382552
cross_stream,0,0,depth+color,5,5,1404,1786090621415930
cross_stream,0,0,depth+color,5,5,3005,1786090621450613
cross_stream,0,0,depth+color,4,4,1372,1786090621482656
cross_stream,0,0,depth+color,5,4,1575,1786090621516073
cross_stream,0,0,depth+color,4,4,1386,1786090621549127
cross_stream,0,0,depth+color,5,5,958,1786090621582498
cross_stream,0,0,depth+color,5,5,1589,1786090621649121
cross_stream,0,0,depth+color,5,5,1385,1786090621682652
cross_stream,0,0,depth+color,5,5,1545,1786090621716330
cross_stream,0,0,depth+color,5,5,1413,1786090621782920
cross_stream,0,0,depth+color,5,5,1514,1786090621849158
cross_stream,0,0,depth+color,4,3,1726,1786090621882740
cross_stream,0,0,depth+color,5,5,2129,1786090621949479
cross_stream,0,0,depth+color,5,5,2043,1786090621983111
