comparison_type,device_i,device_j,stream,hw_diff_us,global_diff_us,sys_diff_us,timestamp_us
cross_stream,0,0,depth+color,-793,-793,-11989,1786521180795264
cross_stream,0,0,depth+color,-792,-791,-11622,1786521180862441
cross_stream,0,0,depth+color,-793,-792,-11737,1786521180928868
cross_stream,0,0,depth+color,-793,-792,-11918,1786521180995446
cross_stream,0,0,depth+color,-793,-793,-11777,1786521181062124
cross_stream,0,0,depth+color,-793,-792,-11186,1786521181129553
cross_stream,0,0,depth+color,-792,-791,-11576,1786521181195786
cross_stream,0,0,depth+color,-792,-791,-11689,1786521181262482
cross_stream,0,0,depth+color,-792,-792,-12061,1786521181328597
cross_stream,0,0,depth+color,-792,-791,-12291,1786521181395356
cross_stream,0,0,depth+color,-792,-791,-11800,1786521181462142
cross_stream,0,0,depth+color,-793,-791,-11523,1786521181528964
cross_stream,0,0,depth+color,-793,-792,-11535,1786521181595815
cross_stream,0,0,depth+color,-793,-2869,-11870,1786521181662148
cross_stream,0,0,depth+color,-793,-793,-11962,1786521181728646
cross_stream,0,0,depth+color,-793,-793,-11795,1786521181795638
cross_stream,0,0,depth+color,-792,-792,-11976,1786521181862020
cross_stream,0,0,depth+color,-792,-791,-11922,1786521181928956
cross_stream,0,0,depth+color,-793,-793,-12221,1786521181995614
cross_stream,0,0,depth+color,-792,-791,-11825,1786521182062195
cross_stream,0,0,depth+color,-792,-792,-11915,1786521182128703
cross_stream,0,0,depth+color,-792,-792,-11587,1786521182195733
cross_stream,0,0,depth+color,-792,-792,-12330,1786521182262038
cross_stream,0,0,depth+color,-792,-791,-11937,1786521182328697
cross_stream,0,0,depth+color,-792,-792,-11964,1786521182395349
cross_stream,0,0,depth+color,-792,-791,-11940,1786521182462035
cross_stream,0,0,depth+color,-793,-793,-12286,1786521182528623
cross_stream,0,0,depth+color,-793,-792,-11818,1786521182595486
cross_stream,0,0,depth+color,-792,-792,-11799,1786521182662332
cross_stream,0,0,depth+color,-792,-792,-12161,1786521182728720
cross_stream,0,0,depth+color,-793,-793,-11892,1786521182795567
cross_stream,0,0,depth+color,-793,-792,-11920,1786521182862025
cross_stream,0,0,depth+color,-793,-792,-11677,1786521182928934
cross_stream,0,0,depth+color,-792,-792,-11733,1786521182995558
cross_stream,0,0,depth+color,-793,-793,-12113,1786521183062043
cross_stream,0,0,depth+color,-792,-792,-11880,1786521183128722
cross_stream,0,0,depth+color,-792,-792,-11959,1786521183195567
cross_stream,0,0,depth+color,-793,-793,-11341,1786521183262981
cross_stream,0,0,depth+color,-792,-791,-11599,1786521183329028
cross_stream,0,0,depth+color,-793,-793,-12058,1786521183395364
cross_stream,0,0,depth+color,-792,-791,-11988,1786521183462041
cross_stream,0,0,depth+color,-792,-792,-11803,1786521183528932
cross_stream,0,0,depth+color,-792,-792,-12222,1786521183595372
cross_stream,0,0,depth+color,-792,-792,-11637,1786521183662472
cross_stream,0,0,depth+color,-793,-793,-11457,1786521183729161
cross_stream,0,0,depth+color,-792,-792,-11744,1786521183795608
cross_stream,0,0,depth+color,-793,-794,-11486,1786521183862483
cross_stream,0,0,depth+color,-792,-792,-11960,1786521183928682
cross_stream,0,0,depth+color,-792,-792,-11912,1786521183995458
cross_stream,0,0,depth+color,-793,-793,-12186,1786521184062024
cross_stream,0,0,depth+color,-792,-792,-11900,1786521184128872
cross_stream,0,0,depth+color,-792,-791,-12013,1786521184195341
cross_stream,0,0,depth+color,-793,-794,-11565,1786521184262349
cross_stream,0,0,depth+color,-793,-793,-12239,1786521184328678
cross_stream,0,0,depth+color,-792,-792,-12421,1786521184395340
cross_stream,0,0,depth+color,-793,-793,-12261,1786521184528820
cross_stream,0,0,depth+color,-793,-793,54388,1786521184595469
cross_stream,0,0,depth+color,-792,-792,-11904,1786521184662010
cross_stream,0,0,depth+color,-792,-792,-11966,1786521184728714
cross_stream,0,0,depth+color,-793,-793,-11454,1786521184795843
cross_stream,0,0,depth+color,-792,-792,-12040,1786521184862010
cross_stream,0,0,depth+color,-793,-793,-11839,1786521184928808
cross_stream,0,0,depth+color,-792,-792,-11851,1786521184995471
cross_stream,0,0,depth+color,-792,-792,-11925,1786521185062124
cross_stream,0,0,depth+color,-792,-792,-11958,1786521185128627
cross_stream,0,0,depth+color,-793,-793,-12344,1786521185195364
cross_stream,0,0,depth+color,-793,-793,-12255,1786521185262041
cross_stream,0,0,depth+color,-793,-793,-11902,1786521185328689
cross_stream,0,0,depth+color,-792,-792,-11914,1786521185395453
cross_stream,0,0,depth+color,-793,-793,-11823,1786521185462236
cross_stream,0,0,depth+color,-793,-793,-11701,1786521185528948
cross_stream,0,0,depth+color,-792,-792,-11903,1786521185595426
cross_stream,0,0,depth+color,-793,-793,-11931,1786521185662093
cross_stream,0,0,depth+color,-792,-792,-11897,1786521185728622
cross_stream,0,0,depth+color,-793,-793,-11339,1786521185796063
cross_stream,0,0,depth+color,-793,-793,54718,1786521185862120
cross_stream,0,0,depth+color,-793,-793,54718,1786521185928840
cross_stream,0,0,depth+color,-792,-792,-12017,1786521185995356
cross_stream,0,0,depth+color,-792,-792,-11880,1786521186062123
cross_stream,0,0,depth+color,-793,-793,-11894,1786521186128719
cross_stream,0,0,depth+color,-793,-793,-11893,1786521186195349
cross_stream,0,0,depth+color,-793,-793,-11911,1786521186262034
cross_stream,0,0,depth+color,-793,-793,-11937,1786521186328657
cross_stream,0,0,depth+color,-793,-793,-11783,1786521186395844
cross_stream,0,0,depth+color,-793,-793,-12280,1786521186462031
cross_stream,0,0,depth+color,-792,-792,-11884,1786521186529072
cross_stream,0,0,depth+color,-793,-793,-12388,1786521186595360
cross_stream,0,0,depth+color,-793,-793,-12366,1786521186661963
cross_stream,0,0,depth+color,-793,-793,-11891,1786521186728969
cross_stream,0,0,depth+color,-793,-793,-11888,1786521186795841
cross_stream,0,0,depth+color,-793,-793,-12051,1786521186862340
cross_stream,0,0,depth+color,-793,-794,-12135,1786521186928955
cross_stream,0,0,depth+color,-793,-793,-12157,1786521186995650
cross_stream,0,0,depth+color,-792,-792,-12357,1786521187062053
cross_stream,0,0,depth+color,-793,-793,-12002,1786521187128896
cross_stream,0,0,depth+color,-792,-792,-12497,1786521187195363
cross_stream,0,0,depth+color,-793,-794,-11774,1786521187262248
cross_stream,0,0,depth+color,-793,-793,-11560,1786521187329249
cross_stream,0,0,depth+color,-793,-793,-11961,1786521187395724
cross_stream,0,0,depth+color,-792,-792,-11842,1786521187462162
cross_stream,0,0,depth+color,-792,-792,-12125,1786521187528693
cross_stream,0,0,depth+color,-792,-792,-12403,1786521187595354
cross_stream,0,0,depth+color,-793,-792,-12456,1786521187661926
cross_stream,0,0,depth+color,-793,-572,54411,1786521187728793
cross_stream,0,0,depth+color,-792,-792,-12165,1786521187795503
cross_stream,0,0,depth+color,-792,-792,-11897,1786521187862229
cross_stream,0,0,depth+color,-792,-792,-12059,1786521187929072
cross_stream,0,0,depth+color,-792,-792,54383,1786521187995514
cross_stream,0,0,depth+color,-793,-793,-12408,1786521188062044
cross_stream,0,0,depth+color,-793,-793,-12053,1786521188128875
cross_stream,0,0,depth+color,-792,-792,-12341,1786521188195354
cross_stream,0,0,depth+color,-792,-792,-12136,1786521188262011
cross_stream,0,0,depth+color,-792,-792,-12403,1786521188328710
cross_stream,0,0,depth+color,-793,-793,-11747,1786521188395835
cross_stream,0,0,depth+color,-792,-792,-12254,1786521188462030
cross_stream,0,0,depth+color,-792,-792,-12095,1786521188528689
cross_stream,0,0,depth+color,-793,-793,-12514,1786521188595497
cross_stream,0,0,depth+color,-793,-793,-12083,1786521188662386
cross_stream,0,0,depth+color,-793,-793,-12055,1786521188795669
cross_stream,0,0,depth+color,-792,-792,-11783,1786521188862538
cross_stream,0,0,depth+color,-792,-792,-12452,1786521188928686
cross_stream,0,0,depth+color,-793,-793,-12136,1786521188995658
cross_stream,0,0,depth+color,-792,-792,-12384,1786521189062045
cross_stream,0,0,depth+color,-793,-793,-12403,1786521189128718
cross_stream,0,0,depth+color,-792,-792,-12226,1786521189195730
cross_stream,0,0,depth+color,-792,-792,-12403,1786521189262031
cross_stream,0,0,depth+color,-793,-793,-12401,1786521189328685
cross_stream,0,0,depth+color,-793,-792,-12236,1786521189395574
cross_stream,0,0,depth+color,-793,-793,-12241,1786521189462128
cross_stream,0,0,depth+color,-793,-793,-11341,1786521189529351
cross_stream,0,0,depth+color,-793,-793,-12380,1786521189595365
cross_stream,0,0,depth+color,-793,-793,-12594,1786521189662000
cross_stream,0,0,depth+color,-793,-793,-12541,1786521189728691
cross_stream,0,0,depth+color,-793,-793,-12090,1786521189795369
cross_stream,0,0,depth+color,-792,-792,-12258,1786521189862026
cross_stream,0,0,depth+color,-793,-792,-12101,1786521189928829
cross_stream,0,0,depth+color,-793,-792,-12596,1786521189995333
cross_stream,0,0,depth+color,-792,-792,-12524,1786521190062067
cross_stream,0,0,depth+color,-792,-792,-12230,1786521190128936
cross_stream,0,0,depth+color,-793,-793,-11916,1786521190195847
cross_stream,0,0,depth+color,-792,-792,-12631,1786521190262020
cross_stream,0,0,depth+color,-793,-793,-12065,1786521190328976
cross_stream,0,0,depth+color,-793,-793,-12001,1786521190395720
cross_stream,0,0,depth+color,-793,-792,-12648,1786521190462044
cross_stream,0,0,depth+color,-793,-792,-12004,1786521190528751
cross_stream,0,0,depth+color,-792,-792,-11484,1786521190595814
cross_stream,0,0,depth+color,-793,-793,-11598,1786521190662404
cross_stream,0,0,depth+color,-793,-793,-12540,1786521190728700
cross_stream,0,0,depth+color,-793,-793,-12476,1786521190795499
cross_stream,0,0,depth+color,-793,-793,-11651,1786521190862607
