deviceIndex,streamType,hwTimestampUs,globalTimestampUs,sysTimestampUs
0,DEPTH,1787118256033664,1787118256036385,1787118256058444
0,DEPTH,1787118256078716,1787118256081427,1787118256103339
0,DEPTH,1787118256112068,1787118256114772,1787118256137076
0,DEPTH,1787118256145387,1787118256148084,1787118256169972
0,DEPTH,1787118256178723,1787118256181414,1787118256203486
0,DEPTH,1787118256212052,1787118256214736,1787118256237078
0,DEPTH,1787118256245389,1787118256248066,1787118256270023
0,DEPTH,1787118256278719,1787118256281389,1787118256303106
0,DEPTH,1787118256312065,1787118256314728,1787118256336590
0,DEPTH,1787118256345386,1787118256348042,1787118256369991
0,DEPTH,1787118256378723,1787118256381372,1787118256403480
0,DEPTH,1787118256412053,1787118256414695,1787118256436621
0,DEPTH,1787118256445391,1787118256448716,1787118256469970
0,DEPTH,1787118256445391,1787118256448716,1787118256503140
0,DEPTH,1787118256478727,1787118256482049,1787118256536443
0,DEPTH,1787118256545390,1787118256548707,1787118256569733
0,DEPTH,1787118256578738,1787118256582052,1787118256603259
0,DEPTH,1787118256612060,1787118256615371,1787118256636496
0,DEPTH,1787118256645393,1787118256648702,1787118256669759
0,DEPTH,1787118256678724,1787118256682030,1787118256703087
0,DEPTH,1787118256712074,1787118256715378,1787118256736581
0,DEPTH,1787118256745392,1787118256748693,1787118256769848
0,DEPTH,1787118256778726,1787118256782024,1787118256802943
0,DEPTH,1787118256812059,1787118256815355,1787118256836594
0,DEPTH,1787118256845395,1787118256848688,1787118256869832
0,DEPTH,1787118256878738,1787118256882029,1787118256903318
0,DEPTH,1787118256912062,1787118256915350,1787118256936526
0,DEPTH,1787118256945391,1787118256948676,1787118256969998
0,DEPTH,1787118256978724,1787118256982007,1787118257003148
0,DEPTH,1787118257012061,1787118257015341,1787118257036548
0,DEPTH,1787118257045396,1787118257048674,1787118257069761
0,DEPTH,1787118257078731,1787118257082006,1787118257103570
0,DEPTH,1787118257112063,1787118257115335,1787118257136649
0,DEPTH,1787118257145396,1787118257148666,1787118257170005
0,DEPTH,1787118257178726,1787118257181993,1787118257203212
0,DEPTH,1787118257212065,1787118257215329,1787118257236330
0,DEPTH,1787118257245395,1787118257248657,1787118257269824
0,DEPTH,1787118257278725,1787118257281984,1787118257303231
0,DEPTH,1787118257312061,1787118257315318,1787118257336820
0,DEPTH,1787118257345409,1787118257348663,1787118257369978
0,DEPTH,1787118257378727,1787118257381978,1787118257402973
0,DEPTH,1787118257378727,1787118257381978,1787118257436723
0,DEPTH,1787118257445399,1787118257448833,1787118257471317
0,DEPTH,1787118257445399,1787118257448833,1787118257503433
0,DEPTH,1787118257478735,1787118257482167,1787118257536732
0,DEPTH,1787118257545398,1787118257548827,1787118257569755
0,DEPTH,1787118257578730,1787118257582158,1787118257603399
0,DEPTH,1787118257612063,1787118257615489,1787118257636504
0,DEPTH,1787118257645396,1787118257648820,1787118257669836
0,DEPTH,1787118257678731,1787118257682154,1787118257703147
0,DEPTH,1787118257712063,1787118257715484,1787118257736573
0,DEPTH,1787118257745398,1787118257748818,1787118257769874
0,DEPTH,1787118257778732,1787118257782150,1787118257802973
0,DEPTH,1787118257812066,1787118257815483,1787118257836317
0,DEPTH,1787118257845398,1787118257848813,1787118257869745
0,DEPTH,1787118257878739,1787118257882152,1787118257902979
0,DEPTH,1787118257912067,1787118257915479,1787118257936742
0,DEPTH,1787118257945404,1787118257948814,1787118257969964
0,DEPTH,1787118257978742,1787118257982150,1787118258003208
0,DEPTH,1787118258012074,1787118258015481,1787118258036564
0,DEPTH,1787118258045405,1787118258048810,1787118258069917
0,DEPTH,1787118258045405,1787118258048810,1787118258103194
0,DEPTH,1787118258112067,1787118258115469,1787118258136557
0,DEPTH,1787118258145400,1787118258148801,1787118258169933
0,DEPTH,1787118258178734,1787118258182133,1787118258203334
0,DEPTH,1787118258212069,1787118258215467,1787118258236616
0,DEPTH,1787118258245402,1787118258248798,1787118258269889
0,DEPTH,1787118258245402,1787118258248798,1787118258303148
