deviceIndex,streamType,hwTimestampUs,globalTimestampUs,sysTimestampUs,frameNumber,,device1 globaltime ,device2 globaltime,device2-device0,device2-device1
0,DEPTH,1787124602757841,1787124602759824,1787124602781736,9,,1787124602759088,1787124602757953,-1870,-1130
0,DEPTH,1787124602791175,1787124602793153,1787124602814844,10,,1787124602792409,1787124602791261,-1890,-1140
0,DEPTH,1787124602824502,1787124602826475,1787124602848075,11,,1787124602825725,1787124602824563,-1910,-1160
0,DEPTH,1787124602857842,1787124602859810,1787124602881339,12,,1787124602860642,1787124602857875,-1940,-2770
0,DEPTH,1787124602891177,1787124602893140,1787124602914751,13,,1787124602892366,1787124602891185,-1960,-1180
0,DEPTH,1787124602924507,1787124602926465,1787124602948192,14,,1787124602925684,1787124602924490,-1970,-1190
0,DEPTH,1787124602957842,1787124602959795,1787124602981431,15,,1787124602959006,1787124602957798,-2000,-1210
0,DEPTH,1787124602991176,1787124602993124,1787124603014741,16,,1787124602992328,1787124602991106,-2020,-1220
0,DEPTH,1787124603024513,1787124603026456,1787124603048201,17,,1787124603025652,1787124603024417,-2040,-1240
0,DEPTH,1787124603057843,1787124603059782,1787124603081537,18,,1787124603058971,1787124603057722,-2060,-1250
0,DEPTH,1787124603091176,1787124603093110,1787124603114618,19,,1787124603092291,1787124603091028,-2090,-1270
0,DEPTH,1787124603124515,1787124603126444,1787124603148060,20,,1787124603125618,1787124603126320,-120,710
0,DEPTH,1787124603124515,1787124603127190,1787124603181633,21,,1787124603160249,1787124603159635,32440,-610
0,DEPTH,1787124603191177,1787124603193852,1787124603214902,22,,1787124603193580,1787124603192958,-900,-630
0,DEPTH,1787124603224517,1787124603227192,1787124603248209,23,,1787124603226918,1787124603226287,-910,-630
0,DEPTH,1787124603257845,1787124603260520,1787124603281368,24,,1787124603260243,1787124603259604,-920,-640
0,DEPTH,1787124603291179,1787124603293854,1787124603314705,25,,1787124603293573,1787124603292926,-930,-650
0,DEPTH,1787124603324510,1787124603327185,1787124603348060,26,,1787124603326902,1787124603326246,-940,-660
0,DEPTH,1787124603357845,1787124603360519,1787124603381597,27,,1787124603360233,1787124603359569,-950,-670
0,DEPTH,1787124603357845,1787124603360519,1787124603414842,28,,1787124603393563,1787124603392891,32380,-670
0,DEPTH,1787124603424513,1787124603427187,1787124603448184,29,,1787124603426895,1787124603426214,-970,-680
0,DEPTH,1787124603457845,1787124603460519,1787124603481426,30,,1787124603460224,1787124603459534,-980,-690
