comparison_type,device_i,device_j,stream,hw_diff_us,global_diff_us,sys_diff_us,timestamp_us
cross_stream,0,0,depth+color,-58,-58,4398,1787562726250812
cross_stream,0,0,depth+color,-58,-58,4741,1787562726284139
cross_stream,0,0,depth+color,-57,-58,4727,1787562726317459
cross_stream,0,0,depth+color,-58,-58,4873,1787562726351293
cross_stream,0,0,depth+color,-58,-58,4901,1787562726384584
cross_stream,0,0,depth+color,-58,-58,4984,1787562726417871
cross_stream,0,0,depth+color,-58,-58,5037,1787562726451121
cross_stream,0,0,depth+color,-57,-57,4832,1787562726484358
cross_stream,0,0,depth+color,-58,-58,5182,1787562726517775
cross_stream,0,0,depth+color,-58,-58,5255,1787562726551464
cross_stream,0,0,depth+color,-58,-58,5103,1787562726584352
cross_stream,0,0,depth+color,-58,-58,4925,1787562726617733
cross_stream,0,0,depth+color,-58,-58,5307,1787562726651264
cross_stream,0,0,depth+color,-57,-57,5209,1787562726684754
cross_stream,0,0,depth+color,-58,-58,4741,1787562726717825
cross_stream,0,0,depth+color,-58,-58,4945,1787562726751057
cross_stream,0,0,depth+color,-58,-58,5062,1787562726784412
cross_stream,0,0,depth+color,-58,-58,5204,1787562726817824
cross_stream,0,0,depth+color,-57,-57,5193,1787562726851176
cross_stream,0,0,depth+color,-58,-58,5020,1787562726884404
cross_stream,0,0,depth+color,-58,-58,5011,1787562726917782
cross_stream,0,0,depth+color,-57,-57,4397,1787562726951035
cross_stream,0,0,depth+color,-58,-58,4590,1787562726984369
cross_stream,0,0,depth+color,-58,-58,4561,1787562727017657
cross_stream,0,0,depth+color,-58,-59,5344,1787562727051373
cross_stream,0,0,depth+color,-57,-58,4800,1787562727084339
cross_stream,0,0,depth+color,-58,-58,4611,1787562727117664
cross_stream,0,0,depth+color,-58,-58,4622,1787562727151016
cross_stream,0,0,depth+color,-58,-58,4412,1787562727184347
cross_stream,0,0,depth+color,-57,-57,4784,1787562727217872
cross_stream,0,0,depth+color,-57,-57,4644,1787562727251188
cross_stream,0,0,depth+color,-58,-58,5263,1787562727284549
cross_stream,0,0,depth+color,-58,-58,4619,1787562727317762
cross_stream,0,0,depth+color,-58,-58,4308,1787562727350695
cross_stream,0,0,depth+color,-58,-58,4124,1787562727384332
cross_stream,0,0,depth+color,-58,-58,4812,1787562727417729
cross_stream,0,0,depth+color,-57,-57,4231,1787562727450805
cross_stream,0,0,depth+color,-58,-58,4807,1787562727484517
cross_stream,0,0,depth+color,-58,-58,4743,1787562727517866
cross_stream,0,0,depth+color,-58,-58,4496,1787562727550980
cross_stream,0,0,depth+color,-58,-58,4683,1787562727584234
cross_stream,0,0,depth+color,-58,-58,4585,1787562727617681
cross_stream,0,0,depth+color,-57,-57,4663,1787562727651209
cross_stream,0,0,depth+color,-58,-58,4530,1787562727684464
cross_stream,0,0,depth+color,-58,-58,4789,1787562727717699
cross_stream,0,0,depth+color,-58,-58,4438,1787562727751102
cross_stream,0,0,depth+color,-58,-58,4640,1787562727784400
cross_stream,0,0,depth+color,-58,-58,4770,1787562727817750
cross_stream,0,0,depth+color,-58,-58,4663,1787562727851069
cross_stream,0,0,depth+color,-58,-58,4524,1787562727884258
cross_stream,0,0,depth+color,-57,-57,4840,1787562727917913
cross_stream,0,0,depth+color,-57,-57,4641,1787562727951076
cross_stream,0,0,depth+color,-58,-58,4542,1787562727984422
cross_stream,0,0,depth+color,-58,-58,4790,1787562728017907
cross_stream,0,0,depth+color,-58,-58,4571,1787562728051023
