sn,sensor,frameNumSource,missingFrameNum
CPBG1630011D,depth,hw,13
CPBG1630011D,depth,hw,14
CPBG1630011D,depth,hw,15
CPBG1630011D,depth,hw,16
CPBG1630011D,depth,hw,17
CPBG1630011D,depth,hw,22
CPBG1630011D,depth,hw,23
CPBG1630011D,depth,hw,30
CPBG1630011D,depth,hw,31
CPBG1630011D,depth,hw,32
CPBG1630011D,depth,hw,33
CPBG1630011D,depth,hw,34
CPBG1630011D,depth,hw,35
CPBG1630011D,depth,hw,36
CPBG1630011D,depth,hw,53
CPBG1630011D,depth,hw,81
CPBG1630011D,depth,hw,166
CPBG1630011D,depth,hw,232
CPBG1630011D,depth,hw,278
CPBG1630011D,depth,hw,284
CPBG1630011D,depth,hw,395
CPBG1630011D,depth,hw,397
CPBG1630011D,depth,hw,603
CPBG1630011D,depth,hw,736
CPBG1630011D,depth,hw,786
CPBG1630011D,depth,hw,807
CPBG1630011D,depth,hw,836
CPBG1630011D,depth,hw,864
CPBG1630011D,depth,hw,883
CPBG1630011D,depth,hw,889
CPBG1630011D,depth,hw,924
CPBG1630011D,depth,hw,1046
CPBG1630011D,depth,hw,1059
CPBG1630011D,depth,hw,1278
CPBG1630011D,depth,hw,1282
CPBG1630011D,depth,hw,1300
CPBG1630011D,depth,hw,1927
CPBG1630011D,depth,hw,1973
CPBG1630011D,depth,hw,2034
CPBG1630011D,depth,hw,2044
CPBG1630011D,depth,hw,2050
CPBG1630011D,depth,hw,2450
CPBG1630011D,depth,hw,2506
CPBG1630011D,depth,hw,2536
CPBG1630011D,depth,hw,2606
CPBG1630011D,depth,hw,2623
CPBG1630011D,depth,hw,2659
CPBG1630011D,depth,hw,2749
CPBG1630011D,depth,hw,2935
CPBG1630011D,depth,hw,3204
CPBG1630011D,depth,hw,3287
CPBG1630011D,depth,hw,3677
CPBG1630011D,depth,hw,3791
CPBG1630011D,depth,hw,3803
CPBG1630011D,depth,hw,4230
CPBG1630011D,depth,hw,4607
CPBG1630011D,depth,hw,4903
CPBG1630011D,depth,hw,4922
CPBG1630011D,depth,hw,4924
CPBG1630011D,depth,hw,4927
CPBG1630011D,depth,hw,4945
CPBG1630011D,depth,hw,4996
CPBG1630011D,depth,hw,5089
CPBG1630011D,depth,hw,5223
CPBG1630011D,depth,hw,5260
CPBG1630011D,depth,hw,5270
CPBG1630011D,depth,hw,5453
CPBG1630011D,depth,hw,5510
CPBG1630011D,depth,hw,5534
CPBG1630011D,depth,hw,5882
CPBG1630011D,depth,hw,5936
