comparison_type,device_i,device_j,stream,hw_diff_us,global_diff_us,sys_diff_us,timestamp_us
cross_stream,0,0,depth+color,4,4,575,1786092469215861
cross_stream,0,0,depth+color,5,5,1639,1786092469249214
cross_stream,0,0,depth+color,5,5,1912,1786092469282924
cross_stream,0,0,depth+color,5,5,1575,1786092469315967
cross_stream,0,0,depth+color,5,5,1669,1786092469349005
cross_stream,0,0,depth+color,5,5,1422,1786092469382910
cross_stream,0,0,depth+color,5,5,1425,1786092469416079
cross_stream,0,0,depth+color,5,5,1828,1786092469449154
cross_stream,0,0,depth+color,5,5,1738,1786092469482800
cross_stream,0,0,depth+color,5,5,1233,1786092469515496
cross_stream,0,0,depth+color,5,5,1605,1786092469549524
cross_stream,0,0,depth+color,4,4,1347,1786092469582562
cross_stream,0,0,depth+color,5,5,1382,1786092469616060
cross_stream,0,0,depth+color,5,5,1836,1786092469649656
cross_stream,0,0,depth+color,5,5,1884,1786092469682591
cross_stream,0,0,depth+color,5,5,1996,1786092469716138
cross_stream,0,0,depth+color,5,5,1731,1786092469749457
cross_stream,0,0,depth+color,4,4,1908,1786092469782871
cross_stream,0,0,depth+color,5,5,1769,1786092469816115
cross_stream,0,0,depth+color,4,4,1844,1786092469849431
cross_stream,0,0,depth+color,4,4,2118,1786092469916026
cross_stream,0,0,depth+color,4,4,2317,1786092469949553
cross_stream,0,0,depth+color,5,5,2154,1786092469982737
cross_stream,0,0,depth+color,5,5,1665,1786092470016188
cross_stream,0,0,depth+color,4,4,1225,1786092470049193
cross_stream,0,0,depth+color,5,5,2024,1786092470082776
cross_stream,0,0,depth+color,5,5,1754,1786092470116315
cross_stream,0,0,depth+color,4,4,2312,1786092470149411
cross_stream,0,0,depth+color,5,5,2073,1786092470182863
cross_stream,0,0,depth+color,5,5,1734,1786092470216068
cross_stream,0,0,depth+color,5,5,2373,1786092470249638
cross_stream,0,0,depth+color,5,5,1561,1786092470282715
cross_stream,0,0,depth+color,4,4,1922,1786092470316114
cross_stream,0,0,depth+color,4,4,1353,1786092470349175
cross_stream,0,0,depth+color,5,5,1536,1786092470382465
cross_stream,0,0,depth+color,5,5,659,1786092470415921
cross_stream,0,0,depth+color,5,5,1974,1786092470449357
cross_stream,0,0,depth+color,4,4,1753,1786092470482259
cross_stream,0,0,depth+color,5,5,1382,1786092470515844
cross_stream,0,0,depth+color,5,5,1811,1786092470549315
cross_stream,0,0,depth+color,5,5,1834,1786092470582693
cross_stream,0,0,depth+color,5,5,1736,1786092470616024
cross_stream,0,0,depth+color,5,5,1081,1786092470649007
cross_stream,0,0,depth+color,5,5,1760,1786092470683058
cross_stream,0,0,depth+color,5,5,2055,1786092470716398
cross_stream,0,0,depth+color,4,4,2090,1786092470749550
cross_stream,0,0,depth+color,5,5,1779,1786092470782466
cross_stream,0,0,depth+color,4,4,1733,1786092470815994
cross_stream,0,0,depth+color,4,4,1323,1786092470849495
cross_stream,0,0,depth+color,5,5,1510,1786092470882751
cross_stream,0,0,depth+color,5,6,1457,1786092470915845
cross_stream,0,0,depth+color,5,5,2048,1786092470949602
cross_stream,0,0,depth+color,5,4,1603,1786092470982450
cross_stream,0,0,depth+color,4,4,1781,1786092471016129
cross_stream,0,0,depth+color,4,5,1697,1786092471049364
cross_stream,0,0,depth+color,4,5,1522,1786092471082919
cross_stream,0,0,depth+color,4,4,1119,1786092471115941
cross_stream,0,0,depth+color,4,4,1629,1786092471149325
cross_stream,0,0,depth+color,5,5,1660,1786092471182455
cross_stream,0,0,depth+color,4,4,1282,1786092471215537
cross_stream,0,0,depth+color,5,5,1361,1786092471249261
cross_stream,0,0,depth+color,5,5,1223,1786092471282495
cross_stream,0,0,depth+color,5,5,1657,1786092471316009
cross_stream,0,0,depth+color,5,5,1666,1786092471348999
cross_stream,0,0,depth+color,5,5,1543,1786092471382341
cross_stream,0,0,depth+color,5,5,1892,1786092471415839
cross_stream,0,0,depth+color,4,4,1425,1786092471449238
cross_stream,0,0,depth+color,4,4,1701,1786092471482429
cross_stream,0,0,depth+color,4,4,1836,1786092471515972
cross_stream,0,0,depth+color,5,5,1983,1786092471549623
cross_stream,0,0,depth+color,4,4,2435,1786092471583021
cross_stream,0,0,depth+color,5,5,1795,1786092471615909
cross_stream,0,0,depth+color,4,4,1935,1786092471649524
cross_stream,0,0,depth+color,4,4,3635,1786092471684509
cross_stream,0,0,depth+color,5,5,1575,1786092471715559
cross_stream,0,0,depth+color,4,4,1858,1786092471749078
cross_stream,0,0,depth+color,5,5,1860,1786092471782456
cross_stream,0,0,depth+color,5,6,1779,1786092471815717
cross_stream,0,0,depth+color,5,5,1808,1786092471849262
cross_stream,0,0,depth+color,5,5,1850,1786092471882584
cross_stream,0,0,depth+color,5,5,2123,1786092471915982
cross_stream,0,0,depth+color,5,4,1865,1786092471949168
cross_stream,0,0,depth+color,4,4,2000,1786092471982537
cross_stream,0,0,depth+color,5,5,1895,1786092472015932
cross_stream,0,0,depth+color,5,5,1638,1786092472049206
cross_stream,0,0,depth+color,5,5,1653,1786092472082392
cross_stream,0,0,depth+color,4,4,2071,1786092472115919
cross_stream,0,0,depth+color,5,5,2180,1786092472149493
cross_stream,0,0,depth+color,4,4,1564,1786092472182446
cross_stream,0,0,depth+color,5,5,1664,1786092472215876
cross_stream,0,0,depth+color,4,4,1231,1786092472249071
cross_stream,0,0,depth+color,4,4,2554,1786092472283045
cross_stream,0,0,depth+color,5,5,2139,1786092472316192
cross_stream,0,0,depth+color,5,5,1347,1786092472349107
cross_stream,0,0,depth+color,4,4,1716,1786092472382436
cross_stream,0,0,depth+color,5,5,2221,1786092472416311
cross_stream,0,0,depth+color,5,5,1188,1786092472449232
cross_stream,0,0,depth+color,5,5,2147,1786092472483021
cross_stream,0,0,depth+color,4,4,1614,1786092472515990
cross_stream,0,0,depth+color,5,5,1211,1786092472549088
cross_stream,0,0,depth+color,5,5,2095,1786092472582760
cross_stream,0,0,depth+color,4,5,1915,1786092472615972
cross_stream,0,0,depth+color,4,4,2131,1786092472649446
cross_stream,0,0,depth+color,4,4,1658,1786092472682823
cross_stream,0,0,depth+color,5,5,1891,1786092472715852
cross_stream,0,0,depth+color,4,4,1488,1786092472749445
cross_stream,0,0,depth+color,5,5,1918,1786092472782821
cross_stream,0,0,depth+color,5,4,1724,1786092472815944
cross_stream,0,0,depth+color,5,5,1845,1786092472849270
