comparison_type,device_i,device_j,stream,hw_diff_us,global_diff_us,sys_diff_us,timestamp_us
cross_stream,0,0,depth+color,-58,-58,4781,1786096964127135
cross_stream,0,0,depth+color,-58,-58,4411,1786096964194167
cross_stream,0,0,depth+color,-58,-58,4538,1786096964260213
cross_stream,0,0,depth+color,-58,-58,4415,1786096964327172
cross_stream,0,0,depth+color,-58,-58,5076,1786096964394121
cross_stream,0,0,depth+color,-58,-57,4145,1786096964460257
cross_stream,0,0,depth+color,-58,-58,4464,1786096964526995
cross_stream,0,0,depth+color,-57,-57,4480,1786096964593612
cross_stream,0,0,depth+color,-58,-58,4339,1786096964660474
cross_stream,0,0,depth+color,-58,-58,4254,1786096964726774
cross_stream,0,0,depth+color,-58,-58,3880,1786096964793264
cross_stream,0,0,depth+color,-58,-57,4404,1786096964860135
cross_stream,0,0,depth+color,-58,-57,4071,1786096964926918
cross_stream,0,0,depth+color,-58,-58,4397,1786096964993984
cross_stream,0,0,depth+color,-58,-58,5006,1786096965060609
cross_stream,0,0,depth+color,-57,-57,4612,1786096965127210
cross_stream,0,0,depth+color,-58,-58,2768,1786096965193374
cross_stream,0,0,depth+color,-58,-58,4862,1786096965260635
cross_stream,0,0,depth+color,-58,-58,3945,1786096965326671
cross_stream,0,0,depth+color,-58,-58,4326,1786096965393685
cross_stream,0,0,depth+color,-58,-58,3761,1786096965460081
cross_stream,0,0,depth+color,-58,-58,3787,1786096965526740
cross_stream,0,0,depth+color,-57,-56,4697,1786096965593717
cross_stream,0,0,depth+color,-57,-57,4208,1786096965660312
cross_stream,0,0,depth+color,-58,-58,4325,1786096965726659
cross_stream,0,0,depth+color,-58,-58,4600,1786096965794205
cross_stream,0,0,depth+color,-57,-57,4172,1786096965860450
cross_stream,0,0,depth+color,-58,-58,4144,1786096965927096
cross_stream,0,0,depth+color,-58,-58,4123,1786096965994003
cross_stream,0,0,depth+color,-58,-58,4297,1786096966060446
cross_stream,0,0,depth+color,-57,-56,4239,1786096966127164
cross_stream,0,0,depth+color,-58,-58,4321,1786096966193555
cross_stream,0,0,depth+color,-58,-58,4335,1786096966260349
cross_stream,0,0,depth+color,-58,-58,3843,1786096966326772
cross_stream,0,0,depth+color,-58,-58,7599,1786096966463134
cross_stream,0,0,depth+color,-58,-58,4299,1786096966526766
cross_stream,0,0,depth+color,-58,-58,4437,1786096966593795
cross_stream,0,0,depth+color,-58,-58,4378,1786096966660605
cross_stream,0,0,depth+color,-58,-58,4218,1786096966727134
cross_stream,0,0,depth+color,-58,-58,4330,1786096966793662
cross_stream,0,0,depth+color,-57,-57,4374,1786096966860397
cross_stream,0,0,depth+color,-58,-59,4294,1786096966927122
cross_stream,0,0,depth+color,-58,-59,4390,1786096966993671
cross_stream,0,0,depth+color,-58,-58,4312,1786096967060068
cross_stream,0,0,depth+color,-57,-57,4274,1786096967126824
cross_stream,0,0,depth+color,-58,-58,4381,1786096967193642
cross_stream,0,0,depth+color,-58,-58,4571,1786096967260695
cross_stream,0,0,depth+color,-58,-58,4567,1786096967327528
cross_stream,0,0,depth+color,-58,-58,4776,1786096967394028
cross_stream,0,0,depth+color,-58,-58,4582,1786096967460811
cross_stream,0,0,depth+color,-57,-57,4401,1786096967527105
cross_stream,0,0,depth+color,-58,-58,4865,1786096967660726
cross_stream,0,0,depth+color,-57,-57,4427,1786096967726790
cross_stream,0,0,depth+color,-58,-58,4068,1786096967793631
cross_stream,0,0,depth+color,-58,-58,4296,1786096967860163
cross_stream,0,0,depth+color,-57,-57,4358,1786096967993564
cross_stream,0,0,depth+color,-58,-58,4656,1786096968060283
cross_stream,0,0,depth+color,-58,-58,4970,1786096968127268
cross_stream,0,0,depth+color,-58,-58,4227,1786096968193337
cross_stream,0,0,depth+color,-58,-58,4627,1786096968260125
cross_stream,0,0,depth+color,-58,-58,4278,1786096968326794
cross_stream,0,0,depth+color,-58,-58,4440,1786096968460254
cross_stream,0,0,depth+color,-57,155,4331,1786096968526979
cross_stream,0,0,depth+color,-57,-57,4163,1786096968593401
cross_stream,0,0,depth+color,-58,-58,4180,1786096968660369
cross_stream,0,0,depth+color,-57,-57,4618,1786096968727083
cross_stream,0,0,depth+color,-58,-58,4885,1786096968794629
cross_stream,0,0,depth+color,-58,-58,4568,1786096968860162
cross_stream,0,0,depth+color,-58,-58,4354,1786096968926661
cross_stream,0,0,depth+color,-57,-57,4285,1786096968993502
cross_stream,0,0,depth+color,-58,-58,4317,1786096969059985
cross_stream,0,0,depth+color,-58,-58,4679,1786096969126989
cross_stream,0,0,depth+color,-58,-58,4543,1786096969193591
cross_stream,0,0,depth+color,-58,-58,4461,1786096969260111
cross_stream,0,0,depth+color,-58,-58,4500,1786096969326967
cross_stream,0,0,depth+color,-58,-58,4630,1786096969393928
cross_stream,0,0,depth+color,-58,-58,4431,1786096969460179
cross_stream,0,0,depth+color,-58,-58,5372,1786096969527702
cross_stream,0,0,depth+color,-58,-58,4587,1786096969593600
cross_stream,0,0,depth+color,-58,-58,4420,1786096969660199
cross_stream,0,0,depth+color,-57,-57,4499,1786096969726992
cross_stream,0,0,depth+color,-58,-58,4405,1786096969793432
cross_stream,0,0,depth+color,-58,-58,4395,1786096969860588
cross_stream,0,0,depth+color,-57,-57,4316,1786096969927103
cross_stream,0,0,depth+color,-57,-57,4416,1786096969993453
cross_stream,0,0,depth+color,-58,-58,4658,1786096970060299
cross_stream,0,0,depth+color,-58,-58,4698,1786096970126785
cross_stream,0,0,depth+color,-58,-59,4538,1786096970193562
cross_stream,0,0,depth+color,-58,-57,4746,1786096970260227
cross_stream,0,0,depth+color,-57,-57,4471,1786096970326939
cross_stream,0,0,depth+color,-57,-58,4769,1786096970393650
cross_stream,0,0,depth+color,-58,-58,4304,1786096970460002
cross_stream,0,0,depth+color,-58,-58,4187,1786096970526761
cross_stream,0,0,depth+color,-58,-58,4491,1786096970593534
cross_stream,0,0,depth+color,-58,-58,4710,1786096970660527
cross_stream,0,0,depth+color,-58,-58,4492,1786096970726928
cross_stream,0,0,depth+color,-58,-58,4403,1786096970793823
cross_stream,0,0,depth+color,-58,-58,4820,1786096970860303
cross_stream,0,0,depth+color,-58,-57,4298,1786096970926767
cross_stream,0,0,depth+color,-58,-58,4258,1786096970993576
cross_stream,0,0,depth+color,-58,-58,4674,1786096971060083
cross_stream,0,0,depth+color,-58,-58,4138,1786096971126712
cross_stream,0,0,depth+color,-57,-57,4240,1786096971193426
cross_stream,0,0,depth+color,-58,-58,4354,1786096971260100
cross_stream,0,0,depth+color,-58,-58,4449,1786096971326794
cross_stream,0,0,depth+color,-58,-58,4224,1786096971393337
cross_stream,0,0,depth+color,-58,-57,4082,1786096971459980
cross_stream,0,0,depth+color,-58,-58,4344,1786096971526662
cross_stream,0,0,depth+color,-58,-58,4585,1786096971594093
cross_stream,0,0,depth+color,-58,-58,4309,1786096971660453
cross_stream,0,0,depth+color,-58,-58,4491,1786096971727193
cross_stream,0,0,depth+color,-58,-58,4557,1786096971793776
cross_stream,0,0,depth+color,-58,-58,4443,1786096971860121
cross_stream,0,0,depth+color,-57,-57,4842,1786096971927295
cross_stream,0,0,depth+color,-58,-58,4685,1786096971993936
cross_stream,0,0,depth+color,-57,-57,4683,1786096972060701
cross_stream,0,0,depth+color,-58,-58,4433,1786096972127058
cross_stream,0,0,depth+color,-57,-56,4427,1786096972193599
cross_stream,0,0,depth+color,-58,-58,4641,1786096972260449
cross_stream,0,0,depth+color,-57,-57,5007,1786096972327167
cross_stream,0,0,depth+color,-57,-57,4976,1786096972393617
cross_stream,0,0,depth+color,-58,-58,4815,1786096972460473
cross_stream,0,0,depth+color,-57,-57,4104,1786096972526699
cross_stream,0,0,depth+color,-58,-58,4462,1786096972593460
cross_stream,0,0,depth+color,-58,-58,4200,1786096972659979
cross_stream,0,0,depth+color,-57,-57,4456,1786096972726812
cross_stream,0,0,depth+color,-58,-58,4435,1786096972793429
cross_stream,0,0,depth+color,-57,-57,4462,1786096972860257
cross_stream,0,0,depth+color,-58,-57,4483,1786096972926780
cross_stream,0,0,depth+color,-58,-59,4840,1786096972993871
cross_stream,0,0,depth+color,-57,-57,4239,1786096973060105
cross_stream,0,0,depth+color,-58,-58,4486,1786096973126771
cross_stream,0,0,depth+color,-58,-58,4122,1786096973193633
cross_stream,0,0,depth+color,-58,-58,4378,1786096973260529
cross_stream,0,0,depth+color,-58,-58,4221,1786096973326669
cross_stream,0,0,depth+color,-57,-57,4947,1786096973394059
cross_stream,0,0,depth+color,-58,-58,3805,1786096973460101
cross_stream,0,0,depth+color,-58,-58,4511,1786096973526997
cross_stream,0,0,depth+color,-58,-58,4473,1786096973593654
