comparison_type,device_i,device_j,stream,hw_diff_us,global_diff_us,sys_diff_us,timestamp_us
cross_stream,0,0,depth+color,-58,-58,4639,1786103655068241
cross_stream,0,0,depth+color,-58,-58,4260,1786103655129436
cross_stream,0,0,depth+color,-58,-58,4554,1786103655207687
cross_stream,0,0,depth+color,-57,-57,4473,1786103655274908
cross_stream,0,0,depth+color,-57,-57,4386,1786103655341325
cross_stream,0,0,depth+color,-58,-58,4430,1786103655407964
cross_stream,0,0,depth+color,-57,-57,5044,1786103655474725
cross_stream,0,0,depth+color,-57,-57,4516,1786103655541179
cross_stream,0,0,depth+color,-58,-58,4626,1786103655608134
cross_stream,0,0,depth+color,-58,-58,4692,1786103655676975
cross_stream,0,0,depth+color,-57,-57,4807,1786103655741477
cross_stream,0,0,depth+color,-57,-57,4421,1786103655807600
cross_stream,0,0,depth+color,-58,-59,4820,1786103655874653
cross_stream,0,0,depth+color,-57,-57,4352,1786103655941139
cross_stream,0,0,depth+color,-58,-58,4404,1786103656007702
cross_stream,0,0,depth+color,-58,-58,4384,1786103656074727
cross_stream,0,0,depth+color,-57,-57,4563,1786103656141339
cross_stream,0,0,depth+color,-58,-58,4805,1786103656208265
cross_stream,0,0,depth+color,-57,-57,4760,1786103656274307
cross_stream,0,0,depth+color,-58,-59,4319,1786103656340811
cross_stream,0,0,depth+color,-58,-59,4584,1786103656407576
cross_stream,0,0,depth+color,-58,-57,4008,1786103656474266
cross_stream,0,0,depth+color,-58,-58,4115,1786103656540942
cross_stream,0,0,depth+color,-58,-57,3952,1786103656607628
cross_stream,0,0,depth+color,-57,-58,4431,1786103656674657
cross_stream,0,0,depth+color,-57,-57,4380,1786103656740909
cross_stream,0,0,depth+color,-58,-57,4459,1786103656807729
cross_stream,0,0,depth+color,-58,-57,4191,1786103656874282
cross_stream,0,0,depth+color,-57,-56,4029,1786103656941138
cross_stream,0,0,depth+color,-58,-59,4842,1786103657008292
cross_stream,0,0,depth+color,-57,-57,5075,1786103657074799
cross_stream,0,0,depth+color,-58,-58,4354,1786103657140838
cross_stream,0,0,depth+color,-58,-58,4987,1786103657208185
cross_stream,0,0,depth+color,-58,-58,4158,1786103657274592
cross_stream,0,0,depth+color,-58,-59,4529,1786103657341430
cross_stream,0,0,depth+color,-57,-57,4160,1786103657407570
cross_stream,0,0,depth+color,-58,-59,4334,1786103657474271
cross_stream,0,0,depth+color,-58,-59,5131,1786103657541616
cross_stream,0,0,depth+color,-58,-58,4650,1786103657607989
cross_stream,0,0,depth+color,-58,-58,4287,1786103657674089
