sn,rowId,swNum,hwNum,systemUs,deviceUs,globalUs
CPBG1630011D,0,1,2,1788583127943517,1788583127776530,1788583127776559
CPBG1630011D,1,2,3,1788583127946296,1788583127809863,1788583127809893
CPBG1630011D,2,3,4,1788583127949019,1788583127843197,1788583127843228
CPBG1630011D,3,4,5,1788583127950926,1788583127876531,1788583127876562
CPBG1630011D,4,5,6,1788583127952850,1788583127909864,1788583127909895
CPBG1630011D,5,6,7,1788583127960277,1788583127943199,1788583127943230
CPBG1630011D,6,7,8,1788583127993676,1788583127976535,1788583127976566
CPBG1630011D,7,8,9,1788583128027143,1788583128009868,1788583128009899
CPBG1630011D,8,9,10,1788583128060623,1788583128043201,1788583128043231
CPBG1630011D,9,10,11,1788583128094162,1788583128076538,1788583128076568
CPBG1630011D,10,11,12,1788583128127267,1788583128109869,1788583128109900
CPBG1630011D,11,12,13,1788583128160598,1788583128143202,1788583128143233
CPBG1630011D,12,13,14,1788583128193661,1788583128176536,1788583128176566
CPBG1630011D,13,14,15,1788583128226990,1788583128209871,1788583128209900
CPBG1630011D,14,15,16,1788583128260583,1788583128243205,1788583128243234
CPBG1630011D,15,16,17,1788583128294134,1788583128276539,1788583128276564
CPBG1630011D,16,17,18,1788583128327143,1788583128309875,1788583128309898
CPBG1630011D,17,18,19,1788583128360588,1788583128343206,1788583128343227
CPBG1630011D,18,19,20,1788583128393847,1788583128376540,1788583128376558
CPBG1630011D,19,20,21,1788583128427439,1788583128409878,1788583128409892
CPBG1630011D,20,21,22,1788583128460645,1788583128443212,1788583128443222
CPBG1630011D,21,22,23,1788583128493824,1788583128476543,1788583128476549
CPBG1630011D,22,23,24,1788583128527286,1788583128509875,1788583128509875
CPBG1630011D,23,24,25,1788583128560837,1788583128543209,1788583128543205
CPBG1630011D,24,25,26,1788583128593932,1788583128576544,1788583128576535
CPBG1630011D,25,26,27,1788583128627000,1788583128609877,1788583128609864
CPBG1630011D,26,27,28,1788583128660843,1788583128643211,1788583128643192
CPBG1630011D,27,28,29,1788583128694110,1788583128676544,1788583128676521
CPBG1630011D,28,29,30,1788583128727252,1788583128709879,1788583128709851
CPBG1630011D,29,30,31,1788583128760456,1788583128743213,1788583128743180
CPBG1630011D,30,31,32,1788583128793947,1788583128776547,1788583128776508
CPBG1630011D,31,32,33,1788583128827364,1788583128809881,1788583128809839
CPBG1630011D,32,33,34,1788583128860348,1788583128843215,1788583128843168
CPBG1630011D,33,34,35,1788583128893686,1788583128876553,1788583128876502
CPBG1630011D,34,35,36,1788583128927008,1788583128909883,1788583128909827
CPBG1630011D,35,36,37,1788583128960471,1788583128943217,1788583128943159
CPBG1630011D,36,37,38,1788583128993806,1788583128976554,1788583128976492
CPBG1630011D,37,38,39,1788583129027159,1788583129009886,1788583129009821
CPBG1630011D,38,39,40,1788583129060654,1788583129043221,1788583129043155
CPBG1630011D,39,40,41,1788583129093997,1788583129076552,1788583129076484
CPBG1630011D,40,41,42,1788583129127275,1788583129109887,1788583129109819
CPBG1630011D,41,42,43,1788583129160455,1788583129143219,1788583129143149
CPBG1630011D,42,43,44,1788583129193677,1788583129176556,1788583129176486
CPBG1630011D,43,44,45,1788583129227119,1788583129209893,1788583129209823
CPBG1630011D,44,45,46,1788583129260475,1788583129243225,1788583129243155
CPBG1630011D,45,46,47,1788583129293794,1788583129276557,1788583129276487
CPBG1630011D,46,47,48,1788583129326988,1788583129309890,1788583129309820
CV3T561000H0,0,1,6,1788583129502684,1788583129307751,1788583129310013
CPBG1630011D,47,48,49,1788583129360331,1788583129343224,1788583129343154
