sn,rowId,swNum,hwNum,systemUs,deviceUs,globalUs
CPBG1630011D,0,1,13,1788583127279320,1788583127109826,1788583127109716
CPBG1630011D,1,2,14,1788583127282162,1788583127143282,1788583127143180
CPBG1630011D,2,3,15,1788583127287080,1788583127176624,1788583127176531
CPBG1630011D,3,4,16,1788583127296686,1788583127209827,1788583127209741
CPBG1630011D,4,5,17,1788583127300384,1788583127243282,1788583127243204
CPBG1630011D,5,6,18,1788583127303184,1788583127276628,1788583127276559
CPBG1630011D,6,7,19,1788583127330327,1788583127309829,1788583127309770
CPBG1630011D,7,8,20,1788583127363683,1788583127343164,1788583127343112
CPBG1630011D,8,9,21,1788583127397275,1788583127376496,1788583127376454
CPBG1630011D,9,10,24,1788583127530301,1788583127509832,1788583127509823
CPBG1630011D,10,11,25,1788583127563764,1788583127543166,1788583127543164
CPBG1630011D,11,12,26,1788583127597347,1788583127576501,1788583127576505
CPBG1630011D,12,13,27,1788583127630628,1788583127609836,1788583127609846
CPBG1630011D,13,14,28,1788583127664235,1788583127643170,1788583127643187
CPBG1630011D,14,15,29,1788583127697346,1788583127676504,1788583127676525
CPBG1630011D,15,16,30,1788583127730524,1788583127709835,1788583127709860
CPBG1630011D,16,17,31,1788583127764219,1788583127743169,1788583127743196
CPBG1630011D,17,18,32,1788583127797355,1788583127776504,1788583127776533
CPBG1630011D,18,19,33,1788583127830695,1788583127809837,1788583127809868
CPBG1630011D,19,20,34,1788583127863835,1788583127843171,1788583127843202
CPBG1630011D,20,21,35,1788583127897288,1788583127876505,1788583127876536
CPBG1630011D,21,22,36,1788583127930613,1788583127909838,1788583127909869
CPBG1630011D,22,23,37,1788583127963628,1788583127943173,1788583127943203
CPBG1630011D,23,24,38,1788583127996955,1788583127976509,1788583127976539
CPBG1630011D,24,25,39,1788583128030329,1788583128009841,1788583128009871
CPBG1630011D,25,26,40,1788583128063789,1788583128043175,1788583128043205
CPBG1630011D,26,27,41,1788583128097283,1788583128076512,1788583128076542
CPBG1630011D,27,28,42,1788583128130430,1788583128109843,1788583128109874
CPBG1630011D,28,29,43,1788583128163752,1788583128143176,1788583128143206
CPBG1630011D,29,30,44,1788583128196961,1788583128176510,1788583128176541
CPBG1630011D,30,31,45,1788583128230309,1788583128209845,1788583128209875
CPBG1630011D,31,32,46,1788583128263847,1788583128243179,1788583128243207
CPBG1630011D,32,33,47,1788583128297139,1788583128276513,1788583128276539
CPBG1630011D,33,34,48,1788583128330314,1788583128309849,1788583128309873
CPBG1630011D,34,35,49,1788583128363619,1788583128343179,1788583128343199
CPBG1630011D,35,36,50,1788583128397005,1788583128376513,1788583128376530
CPBG1630011D,36,37,51,1788583128430681,1788583128409852,1788583128409865
CPBG1630011D,37,38,52,1788583128463841,1788583128443185,1788583128443195
CPBG1630011D,38,39,53,1788583128497167,1788583128476517,1788583128476522
CPBG1630011D,39,40,54,1788583128530689,1788583128509849,1788583128509849
CPBG1630011D,40,41,55,1788583128564040,1788583128543183,1788583128543179
CPBG1630011D,41,42,56,1788583128597154,1788583128576517,1788583128576508
CPBG1630011D,42,43,57,1788583128630433,1788583128609851,1788583128609837
CPBG1630011D,43,44,58,1788583128663993,1788583128643185,1788583128643166
CV3T561000H0,0,1,8,1788583128835480,1788583128641075,1788583128643331
CPBG1630011D,44,45,59,1788583128697344,1788583128676518,1788583128676494
CV3T561000H0,1,2,9,1788583128838047,1788583128674408,1788583128676664
CPBG1630011D,45,46,60,1788583128730479,1788583128709852,1788583128709824
CV3T561000H0,2,3,10,1788583128843189,1788583128707742,1788583128709999
CPBG1630011D,46,47,61,1788583128763823,1788583128743187,1788583128743154
CV3T561000H0,3,4,11,1788583128852878,1788583128741076,1788583128743334
CPBG1630011D,47,48,62,1788583128796963,1788583128776520,1788583128776482
