comparison_type,device_i,device_j,stream,hw_diff_us,global_diff_us,sys_diff_us,timestamp_us
cross_stream,0,0,depth+color,-1,-1,4953,1788587012616845
cross_stream,0,0,depth+color,-1,-1,4943,1788587012650109
cross_stream,0,0,depth+color,-1,-2,5004,1788587012683444
cross_stream,0,0,depth+color,0,0,4961,1788587012716773
cross_stream,0,0,depth+color,0,-1,4980,1788587012750118
cross_stream,0,0,depth+color,-1,-1,4861,1788587012783452
cross_stream,0,0,depth+color,-1,-2,5000,1788587012816772
cross_stream,0,0,depth+color,0,1,4990,1788587012850123
cross_stream,0,0,depth+color,-1,-1,4857,1788587012883455
cross_stream,0,0,depth+color,-1,-2,4978,1788587012916776
cross_stream,0,0,depth+color,-1,-2,5125,1788587012950242
cross_stream,0,0,depth+color,-1,-1,4873,1788587012983468
cross_stream,0,0,depth+color,-1,-1,4984,1788587013016784
cross_stream,0,0,depth+color,-1,-2,5326,1788587013050443
cross_stream,0,0,depth+color,-1,-1,4976,1788587013083557
cross_stream,0,0,depth+color,0,0,5128,1788587013116942
cross_stream,0,0,depth+color,-1,-1,4978,1788587013150130
cross_stream,0,0,depth+color,-1,0,4981,1788587013183567
cross_stream,0,0,depth+color,-1,-1,5141,1788587013216943
cross_stream,0,0,depth+color,0,-1,4972,1788587013250118
cross_stream,0,0,depth+color,-1,-2,4977,1788587013283459
cross_stream,0,0,depth+color,-1,-1,4670,1788587013316759
cross_stream,0,0,depth+color,0,-1,5133,1788587013350286
cross_stream,0,0,depth+color,0,0,5025,1788587013383465
cross_stream,0,0,depth+color,-1,-1,4828,1788587013416754
cross_stream,0,0,depth+color,0,0,5117,1788587013450406
cross_stream,0,0,depth+color,-1,-1,4955,1788587013483555
cross_stream,0,0,depth+color,-1,0,5142,1788587013516918
cross_stream,0,0,depth+color,-1,-1,5239,1788587013550510
cross_stream,0,0,depth+color,0,0,4960,1788587013583432
cross_stream,0,0,depth+color,-1,-1,5038,1788587013616812
cross_stream,0,0,depth+color,-1,-1,4859,1788587013650098
cross_stream,0,0,depth+color,-1,-1,4690,1788587013683408
cross_stream,0,0,depth+color,0,0,4984,1788587013716773
cross_stream,0,0,depth+color,0,0,4853,1788587013750116
cross_stream,0,0,depth+color,-1,-1,4998,1788587013783457
cross_stream,0,0,depth+color,-1,-1,4895,1788587013816781
cross_stream,0,0,depth+color,-1,-1,4943,1788587013850223
cross_stream,0,0,depth+color,-1,-1,5017,1788587013883461
cross_stream,0,0,depth+color,0,0,5001,1788587013916764
cross_stream,0,0,depth+color,-1,-1,4856,1788587013950130
cross_stream,0,0,depth+color,0,0,4811,1788587013983567
cross_stream,0,0,depth+color,-1,-2,4719,1788587014016778
cross_stream,0,0,depth+color,-1,-2,4880,1788587014050120
cross_stream,0,0,depth+color,-1,-1,4884,1788587014083591
cross_stream,0,0,depth+color,0,-1,4922,1788587014116969
cross_stream,0,0,depth+color,-1,-2,4848,1788587014150089
cross_stream,0,0,depth+color,-1,-1,4824,1788587014183534
cross_stream,0,0,depth+color,-1,-1,5124,1788587014217042
cross_stream,0,0,depth+color,0,0,4581,1788587014250136
cross_stream,0,0,depth+color,0,0,4878,1788587014283552
