comparison_type,device_i,device_j,stream,hw_diff_us,global_diff_us,sys_diff_us,timestamp_us
cross_stream,0,0,depth+color,-1,-1,-1000,1788587088784331
cross_stream,0,0,depth+color,-1,0,4991,1788587088816917
cross_stream,0,0,depth+color,0,0,5122,1788587088850249
cross_stream,0,0,depth+color,0,0,4993,1788587088883548
cross_stream,0,0,depth+color,-1,0,5122,1788587088916891
cross_stream,0,0,depth+color,-1,0,5131,1788587088950255
cross_stream,0,0,depth+color,-1,-1,5127,1788587088983588
cross_stream,0,0,depth+color,-1,-1,4972,1788587089016883
cross_stream,0,0,depth+color,0,-1,5078,1788587089050201
cross_stream,0,0,depth+color,-1,-1,5090,1788587089083553
cross_stream,0,0,depth+color,0,0,5402,1788587089117151
cross_stream,0,0,depth+color,-1,1,5136,1788587089150237
cross_stream,0,0,depth+color,-1,-1,4974,1788587089183539
cross_stream,0,0,depth+color,0,0,5120,1788587089216898
cross_stream,0,0,depth+color,-1,-1,4761,1788587089250236
cross_stream,0,0,depth+color,0,0,4932,1788587089283528
cross_stream,0,0,depth+color,0,0,4809,1788587089316827
cross_stream,0,0,depth+color,-1,-1,4944,1788587089350202
cross_stream,0,0,depth+color,0,0,5104,1788587089383535
cross_stream,0,0,depth+color,-1,-1,4834,1788587089416911
cross_stream,0,0,depth+color,-1,-2,4871,1788587089450268
cross_stream,0,0,depth+color,-1,-1,5078,1788587089483519
cross_stream,0,0,depth+color,-1,-1,4674,1788587089516870
cross_stream,0,0,depth+color,-1,-1,5022,1788587089550239
cross_stream,0,0,depth+color,-1,-1,4848,1788587089583550
cross_stream,0,0,depth+color,-1,-1,5133,1788587089616903
cross_stream,0,0,depth+color,-1,-1,5009,1788587089650236
cross_stream,0,0,depth+color,-1,-1,4964,1788587089683701
cross_stream,0,0,depth+color,-1,0,5009,1788587089716899
cross_stream,0,0,depth+color,-1,-1,4797,1788587089750230
cross_stream,0,0,depth+color,0,0,5150,1788587089783721
cross_stream,0,0,depth+color,0,-1,5278,1788587089817076
cross_stream,0,0,depth+color,-1,-2,4993,1788587089850241
cross_stream,0,0,depth+color,0,0,5137,1788587089883718
cross_stream,0,0,depth+color,0,0,5122,1788587089916886
cross_stream,0,0,depth+color,-1,-1,5085,1788587089950192
cross_stream,0,0,depth+color,-1,0,5066,1788587089983522
cross_stream,0,0,depth+color,-1,0,5005,1788587090016932
cross_stream,0,0,depth+color,-1,0,5005,1788587090050247
cross_stream,0,0,depth+color,-1,1,4910,1788587090083585
cross_stream,0,0,depth+color,-1,-1,5293,1788587090117045
cross_stream,0,0,depth+color,0,0,4920,1788587090150192
cross_stream,0,0,depth+color,-1,-2,4801,1788587090183670
cross_stream,0,0,depth+color,0,0,5259,1788587090217024
cross_stream,0,0,depth+color,-1,-1,5074,1788587090250318
cross_stream,0,0,depth+color,-1,0,4968,1788587090283658
cross_stream,0,0,depth+color,-1,-2,4831,1788587090316851
cross_stream,0,0,depth+color,0,0,4974,1788587090350221
cross_stream,0,0,depth+color,-1,0,5118,1788587090383680
cross_stream,0,0,depth+color,0,0,4984,1788587090416912
cross_stream,0,0,depth+color,0,0,5093,1788587090450203
